label,n,p_hat_real,benchmark_mean,effect_size,p_empirico,potencia_insuficiente,subexperimento,q_valor,significativo_q,full_label
001A · baja_vol,61435,0.8691796008869179,0.8525131711022491,0.016666429784668813,0.0,False,001A_regimen_volatilidad,0.0,False,001A_regimen_volatilidad — 001A · baja_vol
001A · media_vol,61434,0.8681440443213296,0.8525129949756375,0.01563104934569215,0.0,False,001A_regimen_volatilidad,0.0,False,001A_regimen_volatilidad — 001A · media_vol
001A · alta_vol,61435,0.8762028820320769,0.8525131711022491,0.023689710929827745,0.0,False,001A_regimen_volatilidad,0.0,False,001A_regimen_volatilidad — 001A · alta_vol
001B · 00h UTC,7680,0.865527585757141,0.8528194444444442,0.012708141312696708,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 00h UTC
001B · 01h UTC,7678,0.8675107688291346,0.8528284275418944,0.01468234128724022,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 01h UTC
001B · 02h UTC,7680,0.8747060360595766,0.8528194444444442,0.0218865916151324,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 02h UTC
001B · 03h UTC,7680,0.871717831482691,0.8528194444444442,0.018898387038246756,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 03h UTC
001B · 04h UTC,7680,0.8748366866997648,0.8528194444444442,0.022017242255320535,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 04h UTC
001B · 05h UTC,7680,0.8714061683220073,0.8528194444444442,0.018586723877563105,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 05h UTC
001B · 06h UTC,7680,0.8641959140911472,0.8528194444444442,0.011376469646702914,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 06h UTC
001B · 07h UTC,7680,0.8717075088454986,0.8528194444444442,0.018888064401054394,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 07h UTC
001B · 08h UTC,7680,0.8763061650992685,0.8528194444444442,0.023486720654824267,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 08h UTC
001B · 09h UTC,7680,0.8742319257419271,0.8528194444444442,0.021412481297482855,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 09h UTC
001B · 10h UTC,7680,0.8644798745426032,0.8528194444444442,0.01166043009815898,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 10h UTC
001B · 11h UTC,7680,0.8731030873888017,0.8528194444444442,0.02028364294435747,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 11h UTC
001B · 12h UTC,7680,0.867816091954023,0.8528194444444442,0.014996647509578742,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 12h UTC
001B · 13h UTC,7680,0.8682251534543555,0.8528194444444442,0.015405709009911228,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 13h UTC
001B · 14h UTC,7680,0.8818846254241712,0.8528194444444442,0.02906518097972699,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 14h UTC
001B · 15h UTC,7680,0.8745435576421492,0.8528194444444442,0.021724113197704953,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 15h UTC
001B · 16h UTC,7680,0.8670407098121086,0.8528194444444442,0.014221265367664326,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 16h UTC
001B · 17h UTC,7680,0.8701552916612293,0.8528194444444442,0.01733584721678505,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 17h UTC
001B · 18h UTC,7680,0.8774817136886103,0.8528194444444442,0.024662269244166035,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 18h UTC
001B · 19h UTC,7680,0.865812189380068,0.8528194444444442,0.012992744935623746,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 19h UTC
001B · 20h UTC,7680,0.8653418747548699,0.8528194444444442,0.012522430310425658,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 20h UTC
001B · 21h UTC,7680,0.8793351655542468,0.8528194444444442,0.026515721109802604,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 21h UTC
001B · 22h UTC,7680,0.874918311331852,0.8528194444444442,0.02209886688740781,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 22h UTC
001B · 23h UTC,7680,0.8663185378590078,0.8528194444444442,0.013499093414563568,0.0,False,001B_hora_utc,0.0,False,001B_hora_utc — 001B · 23h UTC
001C · Lunes,26481,0.8716688716688716,0.8524102815855386,0.019258590083333083,0.0,False,001C_dia_semana,0.0,False,001C_dia_semana — 001C · Lunes
001C · Martes,26496,0.8696769317967127,0.8524085396537844,0.0172683921429283,0.0,False,001C_dia_semana,0.0,False,001C_dia_semana — 001C · Martes
